mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__objective,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.624348020553589,0.052877591006001666,0.01940016746520996,0.0016236277046683286,0.7,0.015,6,2,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 6, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9585503138180531,0.9111126681583904,0.8784074796531487,0.8907926650885363,0.8632942701058114,0.9004314793647881,0.033012186621749234,45
3.092950963973999,0.5902266568850191,0.01801018714904785,0.0006328566596026058,0.7,0.015,6,2,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 6, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9577115102672062,0.8990669349562082,0.8927421658112981,0.8861523009511464,0.8853906782369901,0.9042127180445698,0.027205224753771264,13
2.6189996719360353,0.29457448760932875,0.021000242233276366,0.0037407875747875164,0.7,0.015,6,3,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 6, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9544277852288283,0.909250695901938,0.8687722033290917,0.8854198179225294,0.8590723156565812,0.8953885636077936,0.03407187928962854,70
3.21604585647583,0.10887493678292022,0.017600202560424806,0.00101965522204355,0.7,0.015,6,3,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 6, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9542539433206733,0.9007883715141578,0.8836269136566423,0.8870768176798246,0.8824294380226094,0.9016350968387815,0.02710924356382915,31
3.167399835586548,0.24769851189011435,0.017600345611572265,0.0004901173322726751,0.7,0.015,7,1,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 7, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9577110357876107,0.9037604048749284,0.8843769239444998,0.8929457455056202,0.8729660966638569,0.9023520413553033,0.029467672949564025,27
3.1232001304626467,0.14113559407074075,0.01860013008117676,0.0008002045096818818,0.7,0.015,7,1,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 7, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9573624125664367,0.900353594809016,0.8831694429911905,0.8921010036971715,0.8883492671764184,0.9042671442480467,0.02713274837427363,12
3.0003989696502686,0.09459022473290624,0.01800088882446289,0.0006323344620646838,0.7,0.015,7,2,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 7, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9588730012585014,0.9135530740897017,0.8736543421709374,0.8900171092025804,0.8609138482833711,0.8994022750010184,0.03455259402628692,56
3.003199815750122,0.13294047526660024,0.01979961395263672,0.0031242611956042586,0.7,0.015,7,2,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 7, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9578589761645808,0.8999475583022695,0.8890604384746426,0.8878205228384348,0.8867313877643921,0.9042837767088641,0.02720286712625439,11
3.078400230407715,0.01936584202570395,0.01719951629638672,0.001469515961948785,0.7,0.015,7,3,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 7, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.954203523734969,0.9094265997313083,0.8723153965570373,0.885748273311668,0.8615930810399484,0.8966573748749862,0.0329109630960468,67
2.69679970741272,0.13260841204093882,0.017000675201416016,0.0006327868581406474,0.7,0.015,7,3,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 7, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.954087659350028,0.9015555081212742,0.8794807200510417,0.8866180475630467,0.8826065484279354,0.9008696967026653,0.027665004232586877,41
3.4806002140045167,0.17691965199730725,0.02360057830810547,0.009973395541297732,0.7,0.015,8,1,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 8, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9571464871516098,0.9036824416160425,0.8856134053729404,0.8925584480149559,0.8731826652553727,0.9024366894821843,0.029089910056844706,26
3.770800304412842,0.11668476944275401,0.023799705505371093,0.011142224014344407,0.7,0.015,8,1,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 8, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9580101323373007,0.9019707098814407,0.8800610883831734,0.892534721873959,0.8875171730569703,0.9040187651065688,0.027919234691414694,15
3.0831995487213133,0.0912060373596064,0.01779932975769043,0.001599842334989779,0.7,0.015,8,2,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 8, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9594688518633715,0.9123790266617599,0.8717321397898169,0.8896463360369595,0.8623267271621199,0.8991106163028055,0.0346738385266915,57
